gruppe,datum,coherence_C,window_n
andere,2025-11-25,0.8959452588492132,30
andere,2025-11-25,0.8932352114823205,30
andere,2025-11-25,0.8910825961457877,30
andere,2025-11-25,0.888677671030507,30
andere,2025-11-25,0.8919814867146056,30
andere,2025-11-26,0.8926440539016723,30
andere,2025-11-26,0.8907214332309286,30
andere,2025-11-26,0.8906325265813518,30
andere,2025-11-26,0.8894504635253806,30
andere,2025-11-26,0.8897379042279743,30
andere,2025-11-27,0.8852829791883586,30
andere,2025-11-27,0.8965421341324747,30
andere,2025-11-27,0.8963547358204498,30
andere,2025-11-27,0.8972468224247803,30
andere,2025-11-27,0.8973608495882097,30
andere,2025-12-01,0.8972389969231143,30
andere,2025-12-01,0.8949366963295594,30
andere,2025-12-01,0.9590526944594112,30
andere,2025-12-01,0.9589696816740318,30
andere,2025-12-01,0.9594086692211095,30
andere,2025-12-01,0.9596769132664359,30
andere,2025-12-01,0.9589717005594833,30
andere,2025-12-01,0.9550364662261875,30
andere,2025-12-01,0.9568356307122748,30
andere,2025-12-01,0.9573808598176998,30
andere,2025-12-01,0.9573097782148794,30
andere,2025-12-01,0.9569896022457798,30
andere,2025-12-01,0.9587461282090557,30
andere,2025-12-01,0.9586550914738091,30
andere,2025-12-01,0.947739655440255,30
andere,2025-12-01,0.9462983884931692,30
andere,2025-12-02,0.9488725614957421,30
andere,2025-12-02,0.9523139523476389,30
andere,2025-12-02,0.9536174536489797,30
andere,2025-12-02,0.9538092926025529,30
andere,2025-12-03,0.9536353437043623,30
andere,2025-12-03,0.9550464087777563,30
andere,2025-12-03,0.9542781171426565,30
andere,2025-12-03,0.9552664252130182,30
andere,2025-12-03,0.9540084525622035,30
andere,2025-12-08,0.9575883067268992,30
andere,2025-12-08,0.9582885224705694,30
andere,2025-12-08,0.9583915596317154,30
andere,2025-12-08,0.9563746239871544,30
andere,2025-12-08,0.9535702352389525,30
andere,2025-12-08,0.9541338204758264,30
andere,2025-12-08,0.9550536322449676,30
andere,2025-12-08,0.9531958504549114,30
andere,2025-12-08,0.9522613948267967,30
andere,2025-12-08,0.952472851997518,30
andere,2025-12-08,0.9523540138453442,30
andere,2025-12-08,0.9536275561279834,30
andere,2025-12-08,0.9567813149337451,30
andere,2025-12-08,0.9561079442953533,30
andere,2025-12-09,0.9556268857656176,30
