datum,path_key,lehrkraft_id,gruppe_id,teilnehmer_id,fach,thema,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,token_anzahl,funktionsklassen_anzahl_gesamt,operator_count,modulator_count,has_operator,drift_norm,cosine_prev,delta_dichte,polaritaetswechsel,dominanzwechsel,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,rolling_dichte,rolling_drift,rolling_cohesion,drift_window,z_drift,z_delta_dichte,changepoint_score,is_changepoint,phase
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,kognition,2.4410982889583,1,4.2776947265947,7,5,0,0,0,0.6421485844490196,0.7938204525786235,3.0380492127481,0,1,0.57065609830007,0.061680906507123,0.098417161158226,0.35536178558859,0.45537212052641,0.40162071683407,0.40732235788888,3.02964231177096,0.48777441869146915,0.8598645467368818,2.438872093457346,0.6154658205155363,2.610814328774272,4.226280149289808,1,Destabilisierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,kognition,2.6228056368715,1,4.6361765459891,7,4,0,0,0,0.1042864022536135,0.9945621487113184,0.3584818193943997,0,0,0.56572478498315,0.048988682338982,0.17044432813436,0.3147111289115,0.48920271513479,0.42441388016159,0.36056963398192,3.17696977535872,0.4344719844515521,0.8725262131628926,2.1723599222577605,-0.78901135885371,-0.7201563984310678,0.0,0,Konsolidierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,kognition,1.65799276022,1,2.5548891531968,3,2,1,0,1,0.3445103652317985,0.9406559438485654,-2.0812873927923,0,0,0.64894645964613,0.0,0.26242424293343,0.17143533804532,0.43067955000217,0.53294810871909,0.10528791309176,3.0147660433717602,0.4717893277298315,0.863151403624066,2.3589466386491575,-0.16173343318997627,1.421463531669763,1.421463531669763,1,Aktivierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,performanz,1.7816761805797,1,3.5517580419398,5,5,1,1,1,0.4810962859164742,0.8842724030461485,0.9968688887430002,0,1,0.42323574484856,0.16129366203002,0.30455667553456,0.39291713687201,0.3511092726904,0.50163078206162,0.4156926989252,3.2520327963134,0.46248787305781136,0.867842636192095,2.3124393652890567,0.19492263034243273,0.07342268672310974,1.2683453170655425,1,Destabilisierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,motivation,1.2052751378734,1,2.5677818078907,3,3,2,1,1,0.423886946565499,0.9101593254456819,-0.9839762340490998,0,1,0.35414748083857,0.38945317322984,-0.016509864641924,0.46938195463106,0.38464361882541,0.39297273842287,0.44713277366814,3.51766005512222,0.39918571688328097,0.9046940547260676,1.9959285844164047,0.04553638564072838,0.05739582526485053,1.1029322109055788,0,Ermüdung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,performanz,-4.8289365008686,-1,8.2665624494096,6,5,2,0,1,1.9449229674075164,-0.8913723282927966,5.6987806415188995,1,1,-0.48243190746461,-0.021838398418002,-0.081585814298826,-0.335840333101,-0.3736696815313,-0.58415220218792,-0.40801019470689,4.3154335996852,0.6597405934749803,0.5676554985517834,3.2987029673749015,4.017298020845474,5.918370064888163,12.435668085733637,1,Destabilisierung
2025-09-22,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: GRW,kognition,2.4410982889583,1,4.2776947265947,7,5,0,0,0,1.9874498713158884,-0.9749855015412134,-3.9888677228148994,1,1,0.57065609830007,0.061680906507123,0.098417161158226,0.35536178558859,0.45537212052641,0.40162071683407,0.40732235788888,4.24373723580632,1.0363732872874354,0.1737459685012772,5.1818664364371765,4.12834517758132,3.79277699624559,10.421122173826909,1,Destabilisierung
2025-09-22,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: GRW,kognition,2.7431027601632,1,4.4247995695105,8,3,0,0,0,0.21797160941963714,0.9762440795213598,0.14710484291579995,0,0,0.61993690735636,0.028768242753371,0.20958625007286,0.24606156155614,0.50280793819869,0.42502155926261,0.27733420685918,4.61771931906906,1.011065536125003,0.18086359563583604,5.055327680625015,-0.4921541259379784,-0.9829191573755853,0.0,0,Destabilisierung
2025-09-22,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: GRW,motivation,0.292,1,0.47720959755646,1,1,0,0,0,0.67476644167322,0.7723398397195166,-3.94758997195404,0,1,0.42538068645846,0.16763770894915,0.25145656342372,0.61187763766439,0.0,0.52386784046609,0.28079316248982,4.0028096301923926,1.049799567276352,0.15847708297050966,5.24899783638176,0.700638263620433,3.741464616440016,5.442102880060449,1,Destabilisierung
2025-09-22,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: GRW,performanz,2.0864958050995,1,3.9909291971125,6,5,0,0,0,0.5188823480783483,0.8653773963048861,3.51371959955604,0,1,0.50686404877188,0.033885703813723,0.13418955811809,0.37059932669004,0.40085263899891,0.52280821682502,0.39060672750351,4.287439108036752,1.068798647578922,0.1495206971423505,5.34399323789461,0.2935904001937433,3.20212027546764,4.495710675661384,1,Destabilisierung
2025-09-22,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: GRW,regulation,1.6593102589405,1,3.445161991689,5,5,0,0,0,0.4184386620721346,0.9124540695687022,-0.5457672054235001,0,1,0.35697457681494,0.30867452774446,-0.051124322883014,0.44905706607895,0.45666641004076,0.36400878395462,0.48163350420338,3.3231590164926326,0.7635017865118456,0.5102859767146503,3.817508932559228,0.03130970919657247,-0.4873419000744897,1.0313097091965724,0,Aktivierung
2025-09-22,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: GRW,motivation,-0.875,-1,1.5473173559422,3,2,1,0,1,1.9023488856255626,-0.8094825877527262,-1.8978446357468,1,1,-0.26174164015434,0.0,-0.34252609699211,-0.56549119786432,-0.23330551134745,-0.56484492220962,-0.34769630222972,2.7770835423621323,0.7464815893737805,0.5433865594723477,3.7324079468689026,3.9061276722418783,1.193425806120479,7.599553478362357,1,Destabilisierung
2025-09-29,lk=12|g=0|tn=12,12,0,12,MAT,Potenzfunktion/-rechnung: binomische Formeln,kognition,1.6517086769815,1,3.1105149252108,4,4,0,0,0,1.9530427307629998,-0.9072064113205216,1.5631975692686002,1,1,0.53100641103836,0.037516048702287,0.13871477916169,0.36888022758025,0.4065452396975,0.52667608483763,0.34443746200904,2.514226613502192,1.093495813642453,0.1666964613039714,5.467479068212265,4.038500519760915,0.7774259752713343,7.315926495032249,1,Destabilisierung
2025-09-29,lk=12|g=0|tn=12,12,0,12,MAT,Potenzfunktion/-rechnung: binomische Formeln,kognition,2.1118789605959,1,3.9754603937968,6,5,0,0,0,0.09463461116742543,0.995522119525201,0.8649454685859999,0,0,0.53122744012662,0.022266357176725,0.15845702965771,0.31305095472288,0.4683200092299,0.49369494887372,0.36211699940813,3.21387677275026,0.9774694475412942,0.2113329172651083,4.887347237706471,-0.8142143211911249,-0.0905713415165727,0.0,0,Destabilisierung
2025-09-29,lk=12|g=0|tn=12,12,0,12,MAT,Potenzfunktion/-rechnung: binomische Formeln,kognition,1.6566860222492,1,2.4618609597996,3,2,0,0,0,0.3571920323661038,0.9362065064150807,-1.5135994339972,0,0,0.67293779783815,0.0,0.25562377022792,0.15425123718291,0.44110365154733,0.5044428994776,0.094734207310967,2.90806312528768,0.9451313843988454,0.2254987392871472,4.725656921994227,-0.12861879402016385,0.7157705240508182,0.7157705240508182,0,Destabilisierung
2025-09-29,lk=12|g=0|tn=12,12,0,12,MAT,Potenzfunktion/-rechnung: binomische Formeln,performanz,1.7185730315922,1,3.4752254188631,3,3,0,0,0,0.6412574525139338,0.7943930130005006,1.0133644590635003,0,1,0.31877151424459,0.19146773728403,0.17310725067521,0.46890082280075,0.38408892483263,0.49451988842658,0.46883978948033,2.9140758107225,0.989695142487205,0.20188652797350687,4.948475712436025,0.613138877837532,0.09392833326979846,1.7070672111073304,1,Destabilisierung
2025-09-29,lk=12|g=0|tn=12,12,0,12,MAT,Potenzfunktion/-rechnung: binomische Formeln,performanz,1.5583528329756,1,2.4727359267413,2,2,0,0,0,0.28325759356945984,0.959882290165426,-1.0024894921218004,0,0,0.42450201381654,0.020128723815308,0.15990248555212,0.38637338240925,0.27902517895313,0.63021146496408,0.41171598220526,3.09915952488232,0.6658768840759846,0.5557595035571373,3.3293844203799225,-0.32167797441376467,0.08040965983319179,0.08040965983319179,0,Aktivierung
2025-09-29,lk=12|g=0|tn=12,12,0,12,MAT,Potenzfunktion/-rechnung: binomische Formeln,performanz,1.5837821959966,1,2.841063020011,5,4,0,0,0,0.19213587499693632,0.981541763154018,0.36832709326970026,0,0,0.55022689874004,0.017598984485026,0.17699477617066,0.31911897982531,0.36269353678425,0.5574591659001,0.3485142733362,3.04526914384236,0.3136955129227718,0.9335091384520453,1.5684775646138591,-0.5596169456157247,-0.7079177366376427,0.0,0,Konsolidierung
