scope,teilnehmer_id,n,stabilitaet_std_d_semantisch,mittlere_delta_bewegung,delta_std,dominanzwechsel,dominanzwechsel_rate,dominanzstabilitaet,kohaerenz_index,kognition_varianz,sozial_varianz,affektiv_varianz,motivation_varianz,methodik_varianz,performanz_varianz,regulation_varianz
ohne_lehrkraft_1,4,15,0.8796499577393083,0.4277479310123475,0.2103630181622445,11,0.7857142857142857,0.2142857142857143,0.5320139507266126,0.1309603701442398,0.11826645219814287,0.12136910151584737,0.13872011915548424,0.08721952691878275,0.06881574006138336,0.14059834284968248
ohne_lehrkraft_1,23,17,0.8800520983840735,0.36528766927412043,0.1908949080794779,10,0.625,0.375,0.5319001536497375,0.11099094415481388,0.14307797990300758,0.13072950081687867,0.06772007955299814,0.07790757021533809,0.09420423257475377,0.12877837117831176
ohne_lehrkraft_1,40,96,0.9022395232447081,0.35277292048020037,0.2690482466436913,64,0.6736842105263158,0.3263157894736842,0.5256961532868739,0.13028125473987326,0.10872070371702701,0.10678162416403103,0.11443476406685249,0.09973921841204975,0.13508141540049176,0.15296782079258348
ohne_lehrkraft_1,9,53,0.9224141163036237,0.4710020539801328,0.34571815465763167,41,0.7884615384615384,0.21153846153846156,0.5201792847436942,0.2180617952354521,0.12824103600780715,0.10864174114620145,0.10132432575289374,0.1460879376425056,0.15833068609410175,0.14068465637996455
ohne_lehrkraft_1,18,83,0.9383864853844067,0.42447952869376887,0.31615855539542237,57,0.6951219512195121,0.30487804878048785,0.5158929901441648,0.14719116457114684,0.11081964347417274,0.11392622613763712,0.13795320610432105,0.11683720654727836,0.14574079003637638,0.1685791423636467
ohne_lehrkraft_1,24,14,0.9439820756679885,0.5872612220531734,0.6459670871475456,7,0.5384615384615384,0.46153846153846156,0.5144080351956853,0.22122950169607614,0.14713051850437314,0.1545347098688325,0.21331128829600499,0.18140428804593337,0.28194779525796504,0.2734017431908449
ohne_lehrkraft_1,5,16,0.9829912395356037,0.5407804040762668,0.5814728756283317,13,0.8666666666666667,0.1333333333333333,0.504288662532967,0.2553245730879118,0.1046102447163012,0.127982360006295,0.2385515226109412,0.20359905011419863,0.25152284279730475,0.20041015011090782
ohne_lehrkraft_1,11,29,0.999920485248705,0.35970438992418113,0.2165107160024892,17,0.6071428571428571,0.3928571428571429,0.5000198794781796,0.16287534556302474,0.13825125644876143,0.08607524483455399,0.09583277620838973,0.10441128024013405,0.12358062670223821,0.11020295454486913
ohne_lehrkraft_1,45,22,1.0081379371804828,0.3625289662397637,0.17893019631421972,16,0.7619047619047619,0.23809523809523814,0.49797376041012675,0.12057378858964021,0.13253466248617274,0.11392285157916743,0.10264130508401503,0.07722192641091877,0.07637846557060196,0.12404228258134152
ohne_lehrkraft_1,17,93,1.010370796571879,0.5001302636300909,0.45501716436079587,59,0.6413043478260869,0.3586956521739131,0.4974206756809333,0.21822524996487794,0.11590068400185569,0.12354336623566234,0.18936135455226868,0.15698630810572106,0.22134253559177605,0.1904724800555335
ohne_lehrkraft_1,14,11,1.0115236711107234,0.39800342646491704,0.25510076729626624,8,0.8,0.19999999999999996,0.497135586501858,0.13714076293496213,0.11905306191127255,0.116675723083849,0.1283890051115771,0.044085427374533526,0.07651799334374433,0.19941484750453808
ohne_lehrkraft_1,12,104,1.034701667869875,0.43649701123738927,0.4060119186165362,68,0.6601941747572816,0.3398058252427184,0.49147254154801867,0.16902313380793518,0.1183294648347946,0.11754399918774774,0.16238870595919946,0.1458526169995811,0.19449171707197233,0.17267731519167492
ohne_lehrkraft_1,13,31,1.0604050527403897,0.5469024010389741,0.5624886646519972,22,0.7333333333333333,0.2666666666666667,0.4853414617043262,0.29146647144767546,0.10547730866559289,0.12284871022357219,0.16916466226082327,0.22536975717566402,0.23221985428190095,0.20753680182819007
