lehrkraft_id,n_records,mean_semantic_density,std_semantic_density,mean_polarity,mean_operator_count,mean_modulator_count,mean_drift,std_drift,dominance_change_rate,primary_dominant_dimension,mean_x_kognition,std_x_kognition,mean_x_sozial,std_x_sozial,mean_x_affektiv,std_x_affektiv,mean_x_motivation,std_x_motivation,mean_x_methodik,std_x_methodik,mean_x_performanz,std_x_performanz,mean_x_regulation,std_x_regulation,lehrkrafttyp,cluster,pca_1,pca_2,tsne_1,tsne_2
20,12,3.531926126942348,0.9697071958695084,0.8333333333333334,0.5,0.08333333333333333,0.2373943193692887,0.3920399948942026,0.7272727272727273,kognition,0.4871633921830037,0.1708030179684838,0.05359877501532017,0.1673839642395577,0.182329554367169,0.1223584520496723,0.2856457916500937,0.14225951015547805,0.3771407554873483,0.1728695742684272,0.45710120088475914,0.05143618846933538,0.2503693961310614,0.32582692500676064,kognitiv verdichtend,0,0.10271204979189234,0.12354292989254893,-12.112741,46.74814
21,55,3.291413176233928,0.8068313081267836,0.8909090909090909,0.7818181818181819,0.18181818181818182,0.2532368372405873,0.5523551946341262,0.7407407407407407,kognition,0.4413250827843382,0.21170887185290224,0.11865019169272996,0.14915249900104344,0.13780930171852093,0.13541308355489362,0.31323918199437184,0.2141930028921336,0.3692970939584218,0.1860714276146379,0.40028911244661347,0.2044880837199845,0.34080964788816875,0.23141680942387158,kognitiv verdichtend,0,0.07085286959189925,-0.4577842561892484,55.832607,-70.649025
22,16,2.9736924847804276,0.9708641881507655,0.875,0.9375,0.1875,0.3256556661609788,0.6345314879288035,0.5333333333333333,kognition,0.44961491809521437,0.3352543320189226,0.05950873812449514,0.09944992253984439,0.163766464813964,0.13219774633397216,0.3145205380483775,0.16279970035469193,0.36198296390456686,0.19450339841257216,0.39433690397977,0.1900401162735994,0.31867508559875624,0.20063605336912213,kognitiv verdichtend,0,-0.22132652604494832,-0.016194658665933732,79.92891,-70.7125
23,301,3.4028106992251197,0.8647925897522019,0.946843853820598,0.42524916943521596,0.0664451827242525,0.1613360491633999,0.4035146752991971,0.7,kognition,0.45321830766918353,0.18613006037025612,0.11153395861410591,0.1251454113547723,0.16049985687801777,0.10919715734907927,0.33984251911513347,0.14122795168246882,0.373467429186423,0.14041044749813675,0.44666392072665956,0.1747364511020205,0.3736584462191491,0.17281065317226682,kognitiv verdichtend,0,0.9424895859198654,-0.31642922104187765,3.7449727,-3.4995356
24,17,3.6573081940407293,0.8945268951653123,1.0,0.47058823529411764,0.11764705882352941,0.06691756314590631,0.04771909766448534,0.6875,kognition,0.47148365833157707,0.12282159060485348,0.12056285623371482,0.10026656925605229,0.1835138652968628,0.08952269214795062,0.3680113573402112,0.08414775860299857,0.38731652944475686,0.09988692120827719,0.46641204421711,0.06265357564505909,0.40153080847994355,0.10551891268189673,kognitiv verdichtend,0,1.6204423207992424,-0.6060068837778341,-18.798424,-61.19488
25,9,3.3543020159703887,1.0838459966282796,1.0,1.0,0.1111111111111111,0.16345817348124547,0.15471541967676514,0.875,kognition,0.4696081083076489,0.16147608200376556,0.06835546067924633,0.07280996652101354,0.18138818941546644,0.09251247497233424,0.3303906492607791,0.10899307386791973,0.3976848484799222,0.1087800399410999,0.48573795139993226,0.1886516300297839,0.34174322240118343,0.15036564137091124,performanzzentriert,0,0.7777810548367444,-0.2501332101122722,43.495625,-28.432919
26,22,3.363735665459188,0.984959254072631,1.0,0.4090909090909091,0.13636363636363635,0.08096009293323109,0.08073429961091012,0.7619047619047619,performanz,0.4705014036950296,0.11780160679411271,0.14450320698739372,0.129487481312568,0.19517603251722696,0.11130358532788298,0.3705543032783136,0.10028141940113669,0.38939463909380456,0.07544647238300821,0.45906085839955907,0.07462240403930377,0.37541215055804955,0.12119035463190975,kognitiv verdichtend,0,1.5284386136820345,-0.749611432295064,-8.638411,-76.8843
28,40,3.374499369183923,1.0255685210742207,0.95,0.375,0.175,0.15269914571368814,0.3937704335829912,0.7692307692307693,kognition,0.47362905830950575,0.14911691516020373,0.10573560392987467,0.09638280473965788,0.16031697697113131,0.11001524702066603,0.33462616813615575,0.14551873958370104,0.386238106714652,0.1221468406333434,0.43846070211409277,0.18379221693301806,0.36160438179583876,0.202784969197052,kognitiv verdichtend,0,0.8539787312379454,-0.4198945693969648,19.651972,-72.70208
29,5,3.29049250864098,1.0740688719887095,1.0,0.6,0.2,0.11064082640028283,0.08209861989539984,0.75,regulation,0.374458257955902,0.07580501770392813,0.180272623272286,0.10534296367666433,0.1902556718362722,0.1241146507234034,0.40045301482948,0.031829882881568655,0.341580760778608,0.0852491723579307,0.518442678345,0.14829621632755227,0.41343439919160996,0.10865972347970684,performanzzentriert,0,1.507922432641448,-1.6364206979976943,-17.656778,-102.998276
30,6,3.5080272828608168,0.45425747513999076,1.0,0.3333333333333333,0.0,0.08111953518140494,0.04142185890228108,0.8,kognition,0.4863714284398533,0.09565670424929923,0.16614830130462183,0.13256570311291335,0.21695784054971184,0.10679975381794914,0.4058617137593783,0.08273504487494435,0.37708510011749835,0.048428865204563805,0.45235775551582835,0.05236635149460856,0.33572304694680816,0.12018290540268617,kognitiv verdichtend,0,1.7403395029680777,-0.8682032180194168,25.762005,23.973166
