gruppe,datum,lehrkraft_id,id,mtr_rueckkopplung_datenmaske_values_id,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
LK_other,2025-11-17,12,2287,2864,14,5,kognition,1.8505187898345,1,3.224230064658,1.8505187898345,0.34491575184373,0.57837665790519,0.90058877407444,1.3580142234373,1.2998658126846,1.4740554202613
LK_other,2025-11-17,21,2664,3374,7,6,performanz,1.5731268964815,1,3.332074934788,1.4870069090966,0.32571913222656,0.81642048148449,1.3916634151195,1.1617964189016,1.5731268964815,1.5354713462868
LK_1,2025-11-18,1,1359,1925,9,7,performanz,2.1659452350244,1,4.4608733210844,1.9647173009529,0.65587279346505,0.96367130509822,1.8981146802954,1.6821906615382,2.1659452350244,1.8858742498315
LK_1,2025-11-18,1,1361,1927,4,4,regulation,2.0480729564787,1,3.7564296776183,1.6024110035178,0.37797572377749,0.33608420779208,1.5828727749366,1.3578525183541,1.6563128140268,2.0480729564787
LK_1,2025-11-18,1,1362,1928,9,5,kognition,1.7353414214652,1,2.9737596993293,1.7353414214652,0.31864094658265,0.79666131289137,0.68944243262771,1.2775293460538,1.425802689087,0.97739971038524
LK_1,2025-11-18,1,1625,2196,8,4,kognition,1.6662193362077,1,3.0045876008173,1.6662193362077,0.397,0.63433190518851,0.75783453883015,1.3009004167714,1.2546430285366,1.3603270184177
LK_1,2025-11-18,1,1627,2198,8,3,kognition,2.1505046567471,1,3.4817423048328,2.1505046567471,1.0,0.54328868359034,1.0,1.7444801733812,1.2281028171672,0.807
LK_1,2025-11-18,1,1628,2199,13,6,performanz,1.5305173191372,1,3.1971929399825,1.5201340619684,0.27565528982636,0.69973204427701,1.1314691626385,1.2708935679544,1.5305173191372,1.4518085842393
LK_1,2025-11-18,1,1829,2400,5,4,motivation,1.4891651593475,1,3.0004560608434,1.2468631578514,0.76370892668128,0.83713988741195,1.4891651593475,1.0379557998169,1.3629335269281,1.0057143778645
LK_1,2025-11-18,1,1916,2489,8,5,motivation,1.8221612265061,1,3.8471321766507,1.7285745591416,0.68099803925072,1.254248011166,1.8221612265061,1.2944879005818,1.7413047003787,1.3219103810156
LK_1,2025-11-18,1,1918,2491,7,6,methodik,1.8077742395697,1,3.8347774989791,1.5536560911458,0.72381105657853,0.91886794042449,1.5161553505408,1.8077742395697,1.4489022866436,1.8048151969357
LK_other,2025-11-18,19,1432,1999,8,5,motivation,1.771051310269,1,3.6940393184514,1.2299382812187,1.5036007731589,1.5633828689132,1.771051310269,0.94741430727506,1.3364758076743,1.2679955966283
LK_other,2025-11-18,19,1433,2000,12,6,regulation,1.6547937848958,1,3.414990033546,1.2246722505097,1.0,-0.14062248630245,1.5420600652216,1.5704684184992,1.2489585083626,1.6547937848958
LK_1,2025-11-20,1,1052,1612,7,5,performanz,1.8204382621737,1,3.6731041561356,1.64869702328,1.0,0.36608430579169,1.580133765998,1.4041809958066,1.8204382621737,1.3626929567896
