pair_id,strategies,teilnehmer_id,gruppe_id,lehrer_datum,teilnehmer_datum,day_delta_tn_minus_lk,abs_day_delta,recursive_lag_rank,ue_match,dominance_match,polarity_match,cosine_similarity,cosine_klasse,match_score,lehrer_dichte,teilnehmer_dichte,dichte_delta_lk_minus_tn,lk_dominante_dimension,tn_dominante_dimension,emotion_valenz,emotion_aktivierung,lk_kognition,tn_kognition,delta_kognition,lk_sozial,tn_sozial,delta_sozial,lk_affektiv,tn_affektiv,delta_affektiv,lk_motivation,tn_motivation,delta_motivation,lk_methodik,tn_methodik,delta_methodik,lk_performanz,tn_performanz,delta_performanz,lk_regulation,tn_regulation,delta_regulation
LK00224__TN00172,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,43,1,2025-11-10,2025-11-10,0,0,1.0,False,False,True,0.9034113437040794,hoch,0.8234381195186219,3.23476433535984,1.788301181528,1.44646315383184,kognition,sozial,0.765,0.7,0.478427457127436,0.33551395361257,0.14291350351486598,0.1310484749782606,0.44735193815009,-0.3163034631718294,0.18588834636195056,0.40281699478037,-0.2169286484184194,0.406303423065026,0.4188915010433,-0.012588077978273993,0.368789343300732,0.27076564677505,0.09802369652568199,0.437790085359368,0.33551395361257,0.10227613174679795,0.39999409554173804,0.40458788881255,-0.004593793270811941
LK00225__TN00174,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,16,2,2025-11-10,2025-11-10,0,0,1.0,False,False,True,0.8473024150996937,hoch,0.8080081641524158,4.2031149809180395,1.9775780290892,2.2255369518288397,kognition,methodik,0.8,0.56,0.491867792348842,0.2517586324536,0.240109159895242,0.1021768639842138,0.49700043583758,-0.39482357185336625,0.163536918551705,0.36965350827823,-0.20611658972652502,0.360963924373272,0.35915527223244,0.0018086521408320344,0.44292717479957,0.50566904809056,-0.06274187329099001,0.45872664185874196,0.27988193824547,0.17884470361327198,0.398705855548114,0.29989472393388,0.098811131614234
LK00226__TN00176,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,20,2,2025-11-10,2025-11-10,0,0,1.0,False,False,True,0.9384357673361817,hoch,0.8330698360174501,3.4461608239854997,1.8697917847545,1.5763690392309997,kognition,methodik,0.7,0.3,0.4544220973397834,0.3208913444648,0.1335307528749834,0.19150137436136735,0.41659578053325,-0.22509440617188267,0.27642594556593664,0.34634476283747,-0.06991881727153337,0.4092027735177333,0.33693591168804,0.07226686182969333,0.38245509360753,0.53481890744134,-0.15236381383380998,0.45715900353767003,0.3208913444648,0.13626765907287003,0.3168453183303033,0.31779502447435,-0.0009497061440466581
LK00227__TN00173,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,21,2,2025-11-10,2025-11-10,0,0,1.0,False,False,True,0.9010147556283205,hoch,0.8227790577977881,2.99946035356195,1.8046380624753,1.19482229108665,kognition,methodik,0.82,0.5,0.32228215119582504,0.2145771223552,0.10770502884062505,0.18335955015893424,0.40213841235108,-0.21877886219214576,0.07857315244518023,0.38922342469865,-0.31065027225346975,0.20898541283335997,0.36493269309812,-0.15594728026476,0.27713691791190503,0.48996557493252,-0.212828657020615,0.09839548664301748,0.28092987422072,-0.18253438757770254,0.2776625023347917,0.4342611554015,-0.15659865306670828
LK00228__TN00175,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,23,2,2025-11-10,2025-11-10,0,0,1.0,False,False,True,0.911343781756957,hoch,0.8256195399831633,3.42517812145674,1.859441037205,1.56573708425174,performanz,methodik,0.9,0.6,0.43114053654156803,0.32267761530057,0.10846292124099804,0.1348218358397642,0.41891479881126,-0.2840929629714958,0.217392636198008,0.39717232401811,-0.17977968782010198,0.40542088395522596,0.36416473726778,0.04125614668744598,0.3544276287524554,0.47552490675873,-0.12109727800627457,0.4814720610019,0.32267761530057,0.15879444570133,0.39127070930114394,0.31588440234687,0.07538630695427395
LK00232__TN00178,exact_sync;temporal_window;recursive_lag_1,42,3,2025-11-11,2025-11-11,0,0,1.0,False,True,False,,nicht_berechenbar,0.30000000000000004,3.1944836958664,0.0,3.1944836958664,kognition,kognition,,,0.53194057292595,0.0,0.53194057292595,0.057444632292702,0.0,0.057444632292702,0.1471315069605245,0.0,0.1471315069605245,0.30938162358481497,0.0,0.30938162358481497,0.4823518533234025,0.0,0.4823518533234025,0.4426223671012675,0.0,0.4426223671012675,0.3861616080918125,0.0,0.3861616080918125
LK00233__TN00223,recursive_lag_2;semantic_neighborhood,15,4,2025-11-11,2025-11-25,14,14,2.0,False,False,True,0.8262977062084578,hoch,0.6041125817176249,3.8536684168651,1.2131734735068,2.6404949433583003,kognition,methodik,,,0.4845861178327067,0.066644272668964,0.4179418451637427,0.14943469243949434,0.026030034477352,0.12340465796214234,0.24310192126086197,0.49457065506968,-0.25146873380881807,0.40857323069618334,0.49457065506968,-0.08599742437349667,0.38411340083406004,0.58133743666086,-0.19722403582679998,0.43217330233442003,0.35655093737582,0.07562236495860003,0.39636839171889005,0.20149174836172,0.19487664335717003
LK00234__TN00219,recursive_lag_1;semantic_neighborhood,45,4,2025-11-11,2025-11-25,14,14,1.0,False,False,True,0.8756368537492404,hoch,0.6176808472913402,3.73297029092905,1.5129004089405,2.2200698819885503,kognition,performanz,0.71666666666667,0.49166666666667,0.54587911103601,0.39658922428583,0.14928988675017996,0.052795838220003,0.4336042185525,-0.380808380332497,0.15241889959321597,0.3731415302136,-0.22072263062038405,0.3183372543581675,0.25104465109537,0.06729260326279751,0.424275865618015,0.27135052187978,0.15292534373823502,0.4713788465328325,0.44577858543756,0.025600261095272525,0.38680682327475246,0.42437801090419,-0.03757118762943751
LK00238__TN00077,semantic_neighborhood,7,4,2025-11-12,2025-09-30,-43,43,,False,False,True,0.9393349119602332,hoch,0.6333172199523367,3.8723167200021753,1.382420184349,2.489896535653175,kognition,methodik,0.36,0.45,0.473478918995595,0.52021009515905,-0.04673117616345501,0.15039341304077025,0.28173321565917,-0.13133980261839973,0.21354838596669,0.27806614761061,-0.06451776164391998,0.3900227126852275,0.31951479614151,0.07050791654371746,0.39388370285966745,0.57108084255237,-0.17719713969270257,0.4323852690017525,0.33308622165613,0.0992990473456225,0.40462902124409744,0.18307813483424,0.22155088640985746
LK00240__TN00097,semantic_neighborhood,13,4,2025-11-12,2025-10-07,-36,36,,False,False,True,0.9226657006649323,hoch,0.628734296525327,2.908045268533675,2.3166081162212,0.5914371523124746,methodik,performanz,,,0.49760293018100255,0.38758058980755,0.11002234037345254,0.11065332828058852,0.38168325481671,-0.27102992653612146,0.2159168097973425,0.38088139923937,-0.16496458944202746,0.35088815077212,0.38849902722415,-0.037610876452029984,0.44892944509417754,0.25899935148277,0.18993009361140756,0.4213099089692275,0.43166558580462,-0.010355676835392513,0.36715518375155,0.39329531151087,-0.02614012775932001
