pair_id,strategies,teilnehmer_id,gruppe_id,lehrer_datum,teilnehmer_datum,day_delta_tn_minus_lk,abs_day_delta,recursive_lag_rank,ue_match,dominance_match,polarity_match,cosine_similarity,cosine_klasse,match_score,lehrer_dichte,teilnehmer_dichte,dichte_delta_lk_minus_tn,lk_dominante_dimension,tn_dominante_dimension,emotion_valenz,emotion_aktivierung,lk_kognition,tn_kognition,delta_kognition,lk_sozial,tn_sozial,delta_sozial,lk_affektiv,tn_affektiv,delta_affektiv,lk_motivation,tn_motivation,delta_motivation,lk_methodik,tn_methodik,delta_methodik,lk_performanz,tn_performanz,delta_performanz,lk_regulation,tn_regulation,delta_regulation
LK00294__TN00185,semantic_neighborhood,10,5,2025-11-27,2025-11-12,-15,15,,False,False,True,0.8467082721317388,hoch,0.6091923642360453,3.72062889248405,1.8093409162582,1.91128797622585,performanz,methodik,0.16235294117647,0.54411764705882,0.3834202741566825,0.43979809070858,-0.0563778165518975,0.1935387715740465,0.4868913163625,-0.2933525447884535,0.21873064337369777,0.12039719552831,0.09833344784538776,0.448971283442155,0.18397282791891,0.26499845552324497,0.328602645968995,0.55268744019527,-0.22408479422627503,0.46727547555698,0.44472059141294,0.02255488414404,0.41143120468215,0.13391485083684,0.27751635384531004
LK00294__TN00280,recursive_lag_2;semantic_neighborhood,10,5,2025-11-27,2025-12-10,13,13,2.0,False,False,True,0.8276206928541187,hoch,0.6052204362822708,3.72062889248405,1.8838040709754,1.8368248215086498,performanz,methodik,-0.044166666666667,0.56666666666667,0.3834202741566825,0.42241371737594,-0.03899344321925752,0.1935387715740465,0.52174064037694,-0.3282018688028935,0.21873064337369777,0.052759566459141,0.16597107691455676,0.448971283442155,0.1774630177994,0.271508265642755,0.328602645968995,0.53084076782537,-0.20223812185637502,0.46727547555698,0.46664607032091,0.0006294052360700242,0.41143120468215,0.12460410996117,0.28682709472098
LK00324__TN00252,temporal_window;semantic_neighborhood,10,5,2025-12-04,2025-12-03,-1,1,,False,False,True,0.8966914387881368,hoch,0.7648964077814955,3.9491588352588503,2.098224528331,1.8509343069278503,kognition,methodik,0.595,0.475,0.47294475626693494,0.37924667723944,0.09369807902749494,0.1150298026383065,0.46524595558976,-0.3502161529514535,0.17176775382896575,0.28569073070564,-0.11392297687667424,0.365932759835585,0.30352192244183,0.06241083739375497,0.384256879894855,0.47659341792122,-0.09233653802636499,0.45781630378652755,0.41895886505633,0.038857438730197535,0.465551127805665,0.25160602144626,0.213945106359405
LK00324__TN00280,recursive_lag_1;semantic_neighborhood,10,5,2025-12-04,2025-12-10,6,6,1.0,False,False,True,0.8200261974876277,hoch,0.6275742609564202,3.9491588352588503,1.8838040709754,2.06535476428345,kognition,methodik,-0.044166666666667,0.56666666666667,0.47294475626693494,0.42241371737594,0.05053103889099492,0.1150298026383065,0.52174064037694,-0.4067108377386335,0.17176775382896575,0.052759566459141,0.11900818736982476,0.365932759835585,0.1774630177994,0.188469742036185,0.384256879894855,0.53084076782537,-0.14658388793051502,0.45781630378652755,0.46664607032091,-0.008829766534382444,0.465551127805665,0.12460410996117,0.340947017844495
LK00324__TN00225,semantic_neighborhood,10,5,2025-12-04,2025-11-26,-8,8,,False,False,True,0.8498478493627036,hoch,0.6226048488193039,3.9491588352588503,1.8243494110294,2.12480942422945,kognition,methodik,0.23571428571429,0.50714285714286,0.47294475626693494,0.38952971025535,0.08341504601158495,0.1150298026383065,0.51963729850711,-0.4046074958688035,0.17176775382896575,0.14508182180479,0.02668593202417574,0.365932759835585,0.19162538950133,0.17430737033425497,0.384256879894855,0.54814061023957,-0.16388373034471493,0.45781630378652755,0.42066604971874,0.03715025406778755,0.465551127805665,0.20750085019785,0.25805027760781496
LK00324__TN00328,recursive_lag_2,10,5,2025-12-04,2026-02-04,62,62,2.0,False,False,True,0.8830411579363391,hoch,0.6178363186441396,3.9491588352588503,1.9924406282039,1.9567182070549503,kognition,methodik,0.50846153846154,0.53076923076923,0.47294475626693494,0.39938187827911,0.07356287798782496,0.1150298026383065,0.47499533292399,-0.35996553028568345,0.17176775382896575,0.24865838789279,-0.07689063406382424,0.365932759835585,0.24149611266405,0.12443664717153499,0.384256879894855,0.50189701281064,-0.11764013291578501,0.45781630378652755,0.44120249033122,0.016613813455307547,0.465551127805665,0.21945827110155,0.246092856704115
LK00324__TN00134,semantic_neighborhood,10,5,2025-12-04,2025-10-29,-36,36,,False,False,True,0.869122096363477,hoch,0.6140098053424269,3.9491588352588503,1.9324725746579,2.0166862606009506,kognition,methodik,0.41608695652174,0.52173913043478,0.47294475626693494,0.41177540673775,0.06116934952918496,0.1150298026383065,0.48142718261835,-0.3663973799800435,0.17176775382896575,0.20948126597948,-0.037713512150514245,0.365932759835585,0.21302885173051,0.15290390810507498,0.384256879894855,0.51747176782551,-0.13321488793065495,0.45781630378652755,0.4548937866001,0.0029225171864275534,0.465551127805665,0.18627882637957,0.279272301426095
LK00324__TN00185,semantic_neighborhood,10,5,2025-12-04,2025-11-12,-22,22,,False,False,True,0.8412048163647203,hoch,0.6064620028962716,3.9491588352588503,1.8093409162582,2.1398179190006505,kognition,methodik,0.16235294117647,0.54411764705882,0.47294475626693494,0.43979809070858,0.03314666555835494,0.1150298026383065,0.4868913163625,-0.3718615137241935,0.17176775382896575,0.12039719552831,0.05137055830065575,0.365932759835585,0.18397282791891,0.18195993191667498,0.384256879894855,0.55268744019527,-0.16843056030041503,0.45781630378652755,0.44472059141294,0.013095712373587531,0.465551127805665,0.13391485083684,0.33163627696882503
LK00354__TN00280,temporal_window;semantic_neighborhood,10,5,2025-12-11,2025-12-10,-1,1,,False,False,True,0.8445814802851239,hoch,0.7505661691931669,3.96363241737,1.8838040709754,2.0798283463946,motivation,methodik,-0.044166666666667,0.56666666666667,0.43220026440709003,0.42241371737594,0.009786547031150006,0.2533414763215025,0.52174064037694,-0.2683991640554375,0.29436622740027,0.052759566459141,0.24160666094112904,0.38476982238338253,0.1774630177994,0.20730680458398254,0.360327530403145,0.53084076782537,-0.17051323742222502,0.385245286998245,0.46664607032091,-0.08140078332266498,0.4320090213800375,0.12460410996117,0.3074049114188675
LK00354__TN00252,semantic_neighborhood,10,5,2025-12-11,2025-12-03,-8,8,,False,False,True,0.9482254016769179,hoch,0.6496586757057127,3.96363241737,2.098224528331,1.865407889039,motivation,methodik,0.595,0.475,0.43220026440709003,0.37924667723944,0.05295358716765003,0.2533414763215025,0.46524595558976,-0.2119044792682575,0.29436622740027,0.28569073070564,0.008675496694630025,0.38476982238338253,0.30352192244183,0.08124789994155251,0.360327530403145,0.47659341792122,-0.11626588751807498,0.385245286998245,0.41895886505633,-0.033713578058085,0.4320090213800375,0.25160602144626,0.1804029999337775
