perspektive,gruppe_id,zeitphase,d_semantisch_count,d_semantisch_mean,d_semantisch_std,d_semantisch_min,d_semantisch_max,d_semantisch_mean_count,d_semantisch_mean_mean,d_semantisch_mean_std,d_semantisch_mean_min,d_semantisch_mean_max,streuung_gesamt_count,streuung_gesamt_mean,streuung_gesamt_std,streuung_gesamt_min,streuung_gesamt_max,kohaerenz_index_count,kohaerenz_index_mean,kohaerenz_index_std,kohaerenz_index_min,kohaerenz_index_max,konflikt_index_count,konflikt_index_mean,konflikt_index_std,konflikt_index_min,konflikt_index_max,polaritaet_spannung_count,polaritaet_spannung_mean,polaritaet_spannung_std,polaritaet_spannung_min,polaritaet_spannung_max
alle_lehrkraefte,3,nach_rueckkehr,10,3.23931230962706,0.6560370699327389,2.0905523129928,4.0538977817506,10,3.41498149738826,0.5561026251187372,2.2880068261113,4.1049018155089,10,1.115583974638323,0.4619222088879716,0.76787785676851,2.3298169228452,10,0.48786486544813,0.07865106195617123,0.30031681115535,0.56564993795889,10,0.7941087822468209,0.3622526633872703,0.53751449973796,1.7628718459916,10,0.044,0.1391402170474087,0.0,0.44
alle_lehrkraefte,3,vor_abwesenheit,62,3.2962970688194595,0.807209442609663,0.0,5.5837741284993,62,3.4269872079608645,0.7781496429040899,0.0,5.5837741284993,62,0.9281435566071835,0.5323074085803937,0.0,2.1932102076054,62,0.5731383597905421,0.2106837555613762,0.31316447555449,1.0,62,0.653868941556453,0.3793985997158171,0.0,1.5814009914776,62,0.013894839771417518,0.04694063886979994,0.0,0.26086956521739
alle_lehrkraefte,4,abwesenheit_vertretung,9,3.331454253361833,0.380029476540209,2.781698745995,3.8475902466157,9,3.4281028382461223,0.371955012601134,2.9259728666262,3.9672559708307,9,1.0335256960073034,0.22504107986880129,0.7415440180172,1.3652528939371,9,0.4969846014347111,0.05334442290663781,0.42278777147396,0.57420311496837,9,0.7258489395860667,0.159237981154998,0.51908081261204,0.95567702575596,9,0.007936507936507887,0.023809523809523666,0.0,0.071428571428571
alle_lehrkraefte,4,nach_rueckkehr,11,3.2900050594558183,0.6330167436281392,1.6227342874899,3.9571639358126,11,3.555172330602518,0.31560380356964024,2.9118189618376,4.0220890917088,11,1.0947875292343054,0.6717742263830553,0.69292858748314,3.0646925353069,11,0.50460220085019,0.09593480009406707,0.24602106833758,0.5906923702474,11,0.7740217250094819,0.4950193905196807,0.4850500112382,2.2296597747149,11,0.02556818181818182,0.08480006566249602,0.0,0.28125
alle_lehrkraefte,4,vor_abwesenheit,88,3.3144864110629397,0.8181166277928328,0.0,5.212791300571,88,3.442784031532859,0.7722163733515242,0.0,5.212791300571,88,0.7942786535336072,0.5807980309896641,0.0,2.704426016298,88,0.6253940426511687,0.22818749460496535,0.26994735367919,1.0,88,0.5618339457020038,0.42284290277185277,0.0,2.0610982114086,88,0.019462960761587843,0.0856602002124562,0.0,0.56
alle_lehrkraefte,5,abwesenheit_vertretung,4,3.312910574501,0.2915193582936419,2.9339318725109,3.6212623989405,4,3.3968593849051,0.28881473033916794,3.0310121900903,3.7164973711689,4,0.9968544464065675,0.10202715759632042,0.88988897013866,1.1153183247786,4,0.5017654835375275,0.025527766006688737,0.47274208722447,0.52913161344427,4,0.697798112484595,0.07141901031742048,0.62292227909706,0.78072282734501,4,0.0,0.0,0.0,0.0
alle_lehrkraefte,5,nach_rueckkehr,8,2.9409058091340126,0.7643257018525831,1.6267817345569,3.7991515546962,8,3.4153582366972373,0.4089914680495693,2.6264624446432,3.8460767777806,8,1.3995413793768363,0.710707907140112,0.68388229221944,2.7680976131884,8,0.44542945434896997,0.11346042838831245,0.2653859062727,0.59386573789665,8,1.001372562664355,0.5280310562891857,0.47871760455361,2.0148111863747,8,0.07231199033524625,0.10475692437005744,0.0,0.25714285714286
alle_lehrkraefte,5,vor_abwesenheit,41,3.29561245827724,0.6756158994217597,0.99141868047763,4.2212041304915,41,3.4681544849186907,0.628118910827926,0.99141868047763,4.2918426769042,41,0.9810425935334258,0.47298820788690177,0.0,1.9821989192833,41,0.5409087205600429,0.16805815217300712,0.33532303748548,1.0,41,0.6943232586156124,0.34631712150491784,0.0,1.4561106720697,41,0.02531147714074561,0.07054620368257827,0.0,0.28571428571429
alle_lehrkraefte,6,abwesenheit_vertretung,8,3.256402216581875,0.39544451299917444,2.4238060911416,3.8308394384507,8,3.347413645943625,0.39000333768081635,2.5207577044739,3.8800830218994,8,0.8746776964347575,0.21103909917296218,0.64071887609143,1.2707486563478,8,0.5389385523235313,0.05622284179489141,0.44038339391043,0.60948893474197,8,0.6122743875043337,0.1477273694210842,0.448503213264,0.88952405944349,8,0.0,0.0,0.0,0.0
alle_lehrkraefte,6,nach_rueckkehr,10,3.57309996095524,0.3867468128789846,2.9604202781809,4.1477250026328,10,3.6300725446643,0.36791397070852594,3.0881988945001,4.1994473121319,10,0.853573482144135,0.16006272168023816,0.56700000369564,1.0800944860858,10,0.543193449381897,0.04777168906442674,0.48074739233685,0.63816209166661,10,0.597501437500894,0.11204390517616197,0.39690000258695,0.75606614026004,10,0.0,0.0,0.0,0.0
